station,time,easting,northing,height,delta_east,delta_north,delta_height
GPS14,1/1/22 6:49,335406.6194,9752377.689,151.2214934,0,0,0
GPS14,1/1/22 7:19,335406.6027,9752377.681,151.1720472,-0.016770482,-0.007666565,-0.049446228
GPS14,1/1/22 7:29,335406.6123,9752377.69,151.1922055,-0.007084732,0.000996672,-0.029287883
GPS14,1/1/22 8:49,335406.6276,9752377.677,151.2075666,0.008158209,-0.012578323,-0.013926823
GPS14,1/1/22 9:09,335406.6236,9752377.681,151.1923818,0.004223351,-0.008243542,-0.029111657
GPS14,1/1/22 9:29,335406.6256,9752377.685,151.2061339,0.006157932,-0.003662596,-0.015359567
GPS14,1/1/22 9:39,335406.6237,9752377.691,151.2160973,0.004291696,0.002206227,-0.005396114
GPS14,1/1/22 9:49,335406.6207,9752377.683,151.2094902,0.001258402,-0.005692894,-0.012003254
GPS14,1/1/22 9:59,335406.6191,9752377.695,151.2133334,-0.000289641,0.005924864,-0.008159998
GPS14,1/1/22 10:09,335406.6205,9752377.693,151.2236996,0.001058816,0.003698485,0.002206194
GPS14,1/1/22 10:29,335406.6136,9752377.683,151.2262669,-0.005775735,-0.005694637,0.004773437
GPS14,1/1/22 10:39,335406.6136,9752377.683,151.2240201,-0.005868914,-0.006320799,0.00252666
GPS14,1/1/22 10:49,335406.6073,9752377.694,151.2330463,-0.012150207,0.004835807,0.011552885
GPS14,1/1/22 11:09,335406.6035,9752377.692,151.2327268,-0.015880334,0.003329758,0.011233359
GPS14,1/1/22 11:19,335406.608,9752377.687,151.2282784,-0.011424822,-0.001624692,0.006784999
GPS14,1/1/22 11:29,335406.6187,9752377.687,151.2372787,-0.000736547,-0.002304198,0.015785259
GPS14,1/1/22 11:39,335406.6289,9752377.691,151.2127853,0.009468879,0.002042321,-0.008708086
GPS14,1/1/22 11:49,335406.6296,9752377.692,151.2012052,0.010130941,0.002817506,-0.020288215
GPS14,1/1/22 11:59,335406.6349,9752377.688,151.1945193,0.015449375,-0.001352783,-0.026974084
GPS14,1/1/22 12:29,335406.63,9752377.688,151.226212,0.010568271,-0.000675512,0.004718559
GPS14,1/1/22 12:49,335406.6312,9752377.691,151.2140007,0.011737385,0.001966836,-0.007492704
GPS14,1/1/22 12:59,335406.6262,9752377.689,151.2164723,0.006815337,-0.000422047,-0.005021112
GPS14,1/1/22 13:09,335406.6251,9752377.689,151.2060324,0.005711672,-0.000350496,-0.015461007
GPS14,1/1/22 13:19,335406.6191,9752377.683,151.1955394,-0.000327848,-0.005591795,-0.025953979
GPS14,1/1/22 13:29,335406.6207,9752377.681,151.1812184,0.001231346,-0.00849971,-0.040275
GPS14,1/1/22 13:39,335406.6232,9752377.688,151.2052984,0.003743884,-0.001392329,-0.016195036
GPS14,1/1/22 13:49,335406.6244,9752377.688,151.2089793,0.005023239,-0.001075035,-0.012514156
GPS14,1/1/22 13:59,335406.6196,9752377.694,151.2179535,0.000159581,0.005040955,-0.003539929
GPS14,1/1/22 14:09,335406.6189,9752377.695,151.2026119,-0.000503517,0.005801825,-0.018881574
GPS14,1/1/22 14:19,335406.617,9752377.701,151.2098124,-0.002373762,0.012232983,-0.011681043
GPS14,1/1/22 14:29,335406.6188,9752377.699,151.2155203,-0.000626967,0.010225339,-0.005973078
